2764;Ардатов, Мордовия респ.
1883;Ардатов, Нижегородская обл.
2011;Ардон, Северная Осетия респ.
1002;Арзамас, Нижегородская обл.
14666;Арзгир, Ставропольский край
2956;Аркадак, Саратовская обл.
13499;Арлан, Башкортостан респ.
315;Армавир
1751;Армизонское, Тюменская обл.
14725;Аро, Всеволожский р-он, Ленинградская обл.
14632;Аромашево, Тюменская обл.
2379;Арсеньев, Приморский край
2091;Арсеньево, Тульская обл.
1504;Арск, Татарстан респ.
53;Артем
14263;Артёмки, Можайский район, Московская обл.
13282;Артемовский, Приморский край
1191;Артемовский, Свердловская обл.
1864;Арти, Свердловская обл.
13481;Артыбаш, Алтай респ.
402;Архангельск
13292;Архангельск-55, Архангельская обл.
663;Архангельское, Башкортостан респ.
1661;Архангельское, Московская обл.
15552;Архангельское, Норо-фоминский р-н, Московская обл.
13851;Архангельское, Пермский край
2096;Архангельское, Тульская обл.
14250;Архангельское, Тюменская обл.
14424;Архара, Амурская обл.
1589;Архипо-Осиповка, Краснодарский край
14345;Архонская, Северная Осетия респ.
13475;Аршан, Бурятия респ.
13625;Арья, Нижегородская обл.
608;Асбест, Свердловская обл.
13036;Асекеево, Оренбургская обл.
409;Асино, Томская обл.
648;Аскарово, Башкортостан респ.
13620;Аскиз, Хакасия респ.
661;Аскино, Башкортостан респ.
13928;Аслана, Тюменская обл.
14806;Ассадулаево, Астраханская обл.
432;Астрахань
1962;Астродым, Новосибирская обл.
13941;Атажукино, Кабардино-Балкарская респ.
14803;Атал, Астраханская обл.
2495;Атамановка, Читинский р-он, Забайкальский край
13876;Атаманово, Кемеровская обл.
14269;Атаманово, Сухобузимский р-н, Красноярский край
1662;Атепцево, Московская обл.
2957;Аткарск, Саратовская обл.
1534;Атня, Татарстан респ.
2765;Атяшево, Мордовия респ.
13606;аул Икон-Халк, Карачаево-Черкесская респ.
13600;аул Кызыл-Октябрь, Карачаево-Черкесская респ.
13587;аул Новая Джегута, Карачаево-Черкесская респ.
13592;аул Псыж, Карачаево-Черкесская респ.
13588;аул Сары-Тюз, Карачаево-Черкесская респ.
14359;Аушигер, Кабардино-Балкарская респ.
15096;Афанасово-1, Ногинский р-н, Московская обл.
14649;Афанасьево, Кировская обл.
14997;Афанасьево,Щелковский р-н, Московская обл.
1590;Афипсип, Адыгея респ.
1057;Афипский, Краснодарский край
13229;Афонино, Нижегородская обл.
13621;Африканда, Мурманская обл.
14714;Ахтанизовская станица, Краснодарский край
145;Ахтубинск, Астраханская обл.
1259;Ачинск
14830;Ачинск, Промзона НПЗ, Большеулуйский р-он, Красноя
1645;Ачит, Свердловская обл.
3142;Ачхой-Мартан, Чеченская респ.
688;Аша, Челябинская обл.
13334;Аше, Краснодарский край
1663;Ашукино, Московская обл.
59;Аща, Дагестан респ.
